RequestTag,Start,Time
13418972,73146681.121,0.002
24186920,73146681.132,0.002
62873137,73146681.144,0.002
73752400,73146681.155,0.002
85947339,73146681.166,0.001
86062055,73146681.177,0.002
94583364,73146681.188,0.002
82884369,73146681.199,0.002
4039432,73146681.21,0.002
85963671,73146681.221,0.002
59391660,73146681.232,0.002
35491568,73146681.243,0.002
80076489,73146681.256,0.001
32768794,73146681.267,0.001
36697986,73146681.278,0.002
41564597,73146681.29,0.001
10789885,73146681.301,0.001
40053334,73146681.312,0.002
41830233,73146681.324,0.003
77205410,73146681.337,0.002
4126479,73146681.349,0.002
96997602,73146681.362,0.001
11796771,73146681.374,0.002
60297003,73146681.386,0.003
4833580,73146681.4,0.001
43654423,73146681.412,0.002
72891824,73146681.423,0.002
40981022,73146681.514,0.001
76781362,73146681.526,0.002
8349449,73146681.538,0.002
3203334,73146681.549,0.002
13514997,73146681.56,0.002
13358844,73146681.571,0.002
44347725,73146681.582,0.002
82665850,73146681.593,0.002
23767258,73146681.604,0.002
583981,73146681.616,0.001
15878558,73146681.627,0.001
46678968,73146681.638,0.002
59768911,73146681.649,0.002
74222779,73146681.661,0.002
86795777,73146681.674,0.002
30621743,73146681.686,0.002
8056819,73146681.697,0.001
85712089,73146681.708,0.002
73859348,73146681.719,0.002
2256602,73146681.73,0.003
16821730,73146681.743,0.002
92399644,73146681.754,0.001
91766380,73146681.765,0.001
13766163,73146681.776,0.001
17731809,73146681.787,0.001
83217668,73146681.798,0.001
81884551,73146681.808,0.002
58822908,73146681.819,0.001
34224084,73146681.831,0.001
37539346,73146681.842,0.001
77281152,73146681.852,0.002
31898148,73146681.863,0.001
22049789,73146681.874,0.001
46628038,73146681.885,0.001
55311533,73146681.897,0.001
43706839,73146681.908,0.001
21025547,73146681.918,0.002
68718540,73146681.995,0.004
39087609,73146682.011,0.003
17814937,73146682.025,0.001
68041007,73146682.036,0.001
23559452,73146682.046,0.002
4500575,73146682.057,0.002
10814267,73146682.068,0.001
27044215,73146682.078,0.002
16619708,73146682.089,0.002
25806640,73146682.1,0.001
84714048,73146682.111,0.001
8873538,73146682.121,0.002
96955343,73146682.132,0.001
60292192,73146682.142,0.002
51898850,73146682.153,0.002
81592093,73146682.164,0.001
47879851,73146682.174,0.002
86678450,73146682.185,0.002
13600257,73146682.196,0.001
35308149,73146682.207,0.002
49308253,73146682.219,0.002
92594603,73146682.23,0.007
4622763,73146682.249,0.002
11857879,73146682.263,0.005
54392025,73146682.28,0.001
55784864,73146682.291,0.003
40613368,73146682.304,0.001
73268150,73146682.316,0.004
41025417,73146682.33,0.001
71532720,73146682.341,0.003
59781979,73146682.355,0.002
41475396,73146682.369,0.004
55811084,73146682.383,0.001
66779135,73146682.394,0.004
40563451,73146682.408,0.002
91069199,73146682.419,0.004
71009033,73146682.433,0.001
91573351,73146682.444,0.003
8564144,73146682.458,0.002
17833950,73146682.47,0.003
28974248,73146682.483,0.001
47970235,73146682.494,0.003
86773833,73146682.507,0.001
70213519,73146682.518,0.003
33362209,73146682.531,0.002
3520335,73146682.542,0.004
92143585,73146682.555,0.004
96844852,73146682.568,0.003
55069765,73146682.581,0.002
54698975,73146682.592,0.004
44308978,73146682.605,0.002
76221578,73146682.618,0.005
69468551,73146682.633,0.001
30781680,73146682.644,0.003
44818904,73146682.657,0.001
82270482,73146682.669,0.003
88418808,73146682.682,0.002
16075988,73146682.693,0.003
37703010,73146682.706,0.002
34724172,73146682.718,0.003
42220067,73146682.731,0.001
6638306,73146682.742,0.07
23474652,73146682.826,0.003
74762793,73146682.841,0.007
12190544,73146682.859,0.003
75635187,73146682.872,0.017
46709550,73146682.899,0.002
20141103,73146682.91,0.003
42008361,73146682.923,0.002
82684285,73146682.934,0.004
43758273,73146682.947,0.002
60303878,73146682.958,0.004
74068785,73146682.971,0.002
56886713,73146682.983,0.004
63240620,73146682.997,0.002
2526726,73146683.008,0.004
245736,73146683.021,0.002
68857382,73146683.033,0.003
49676029,73146683.046,0.002
56457942,73146683.057,0.003
77255121,73146683.07,0.002
42261541,73146683.081,0.003
85258068,73146683.094,0.002
44147727,73146683.106,0.003
78006690,73146683.119,0.002
36049346,73146683.13,0.004
4158828,73146683.144,0.001
96524304,73146683.154,0.004
68265073,73146683.167,0.002
9362832,73146683.178,0.004
790203,73146683.273,0.002
38718911,73146683.287,0.004
128663,73146683.303,0.001
45947239,73146683.314,0.003
13659152,73146683.326,0.002
32279810,73146683.337,0.004
53991031,73146683.35,0.002
28412927,73146683.361,0.003
62479749,73146683.374,0.001
30069208,73146683.385,0.003
93914682,73146683.397,0.002
47813112,73146683.408,0.003
67847631,73146683.42,0.002
62979830,73146683.431,0.003
74957892,73146683.444,0.001
20028266,73146683.454,0.004
77211552,73146683.467,0.002
9573866,73146683.479,0.003
13793971,73146683.491,0.002
54876541,73146683.502,0.003
39277120,73146683.515,0.002
78341055,73146683.526,0.003
82758684,73146683.539,0.001
20129143,73146683.55,0.003
29001705,73146683.563,0.001
99285441,73146683.574,0.004
42307332,73146683.587,0.002
34843572,73146683.598,0.003
67124015,73146683.611,0.002
70993020,73146683.622,0.003
40925019,73146683.635,0.001
86427221,73146683.645,0.004
66829269,73146683.658,0.002
18015408,73146683.669,0.004
42312053,73146683.744,0.004
88861664,73146683.761,0.007
53565340,73146683.779,0.002
67415669,73146683.791,0.005
39011119,73146683.805,0.002
79096834,73146683.816,0.003
77493150,73146683.829,0.001
47021158,73146683.839,0.004
22607109,73146683.853,0.002
13975798,73146683.864,0.003
83485542,73146683.877,0.001
60251328,73146683.887,0.004
23203103,73146683.901,0.001
19675854,73146683.911,0.005
87093812,73146683.926,0.002
38539156,73146683.937,0.016
34075334,73146683.963,0.001
29701882,73146683.973,0.004
8159393,73146683.986,0.002
67514195,73146683.997,0.003
15381383,73146684.009,0.002
52358556,73146684.02,0.004
47722052,73146684.033,0.002
76345574,73146684.045,0.003
56777588,73146684.058,0.001
5138891,73146684.068,0.004
47029364,73146684.081,0.001
4577292,73146684.091,0.004
97533997,73146684.104,0.002
40458304,73146684.172,0.004
75758063,73146684.188,0.001
33978761,73146684.199,0.003
69551208,73146684.212,0.002
3743802,73146684.223,0.003
31238936,73146684.235,0.002
42410389,73146684.247,0.003
32784336,73146684.259,0.002
32906960,73146684.27,0.003
84134098,73146684.282,0.002
64339722,73146684.293,0.003
92410768,73146684.306,0.001
7165151,73146684.317,0.003
42946793,73146684.329,0.002
40674286,73146684.34,0.004
50132668,73146684.354,0.002
74375589,73146684.366,0.003
51439823,73146684.38,0.001
16238176,73146684.391,0.003
10802886,73146684.404,0.001
97877343,73146684.415,0.003
73911755,73146684.428,0.001
74565883,73146684.438,0.004
94570346,73146684.452,0.002
77531866,73146684.463,0.003
78688564,73146684.476,0.002
57579946,73146684.488,0.003
51013176,73146684.501,0.001
88134435,73146684.512,0.003
97913433,73146684.525,0.001
92534459,73146684.536,0.003
19235754,73146684.549,0.002
99620020,73146684.56,0.003
52795697,73146684.573,0.001
73456995,73146684.642,0.008
53044631,73146684.663,0.003
62193034,73146684.677,0.006
81106486,73146684.693,0.003
74768477,73146684.705,0.003
11903227,73146684.718,0.001
10425529,73146684.728,0.004
33042939,73146684.741,0.002
8224122,73146684.752,0.003
60418121,73146684.766,0.001
27455711,73146684.777,0.003
51722092,73146684.789,0.002
45046768,73146684.8,0.004
70464124,73146684.814,0.001
22319043,73146684.825,0.003
85592772,73146684.838,0.001
9977618,73146684.849,0.003
91021917,73146684.862,0.001
77214173,73146684.873,0.003
64221715,73146684.886,0.002
15653988,73146684.897,0.004
14502111,73146684.91,0.002
91585339,73146684.921,0.003
22837308,73146684.934,0.001
78465777,73146684.945,0.004
29678516,73146684.958,0.002
39569754,73146684.97,0.004
24733765,73146684.983,0.002
86910699,73146684.994,0.003
94062781,73146685.007,0.002
68257973,73146685.019,0.003
41378847,73146685.032,0.002
59759842,73146685.043,0.004
40302675,73146685.058,0.008
21226251,73146685.08,0.009
85511346,73146685.104,0.008
52820819,73146685.124,0.007
59874279,73146685.143,0.007
99822631,73146685.163,0.006
95813147,73146685.182,0.006
18096840,73146685.201,0.007
63011241,73146685.221,0.006
2385036,73146685.24,0.006
86207227,73146685.259,0.054
82842499,73146685.331,0.01
97677005,73146685.357,0.007
6553089,73146685.377,0.006
70552087,73146685.396,0.006
86941993,73146685.415,0.006
36605748,73146685.434,0.006
65222990,73146685.453,0.007
37002943,73146685.473,0.006
36472725,73146685.492,0.006
67358084,73146685.511,0.006
88658985,73146685.53,0.006
89452759,73146685.549,0.006
63936914,73146685.569,0.007
60826366,73146685.588,0.006
94556491,73146685.607,0.006
50640356,73146685.625,0.007
60295310,73146685.646,0.006
25046323,73146685.664,0.006
83578074,73146685.683,0.006
5990499,73146685.702,0.006
12872649,73146685.721,0.006
89593635,73146685.739,0.007
87079796,73146685.758,0.007
30413290,73146685.82,0.01
88247059,73146685.846,0.007
41527735,73146685.942,0.007
55990157,73146685.963,0.006
52356675,73146685.982,0.007
75400568,73146686.001,0.006
15226533,73146686.02,0.006
68728324,73146686.039,0.006
90822959,73146686.058,0.006
34031951,73146686.077,0.006
49633152,73146686.096,0.006
79980766,73146686.114,0.097
94061509,73146686.228,0.008
8145020,73146686.251,0.006
34517352,73146686.321,0.006
97737638,73146686.341,0.007
78081017,73146686.363,0.006
10260265,73146686.382,0.006
40194787,73146686.401,0.006
13830698,73146686.42,0.006
95324360,73146686.438,0.006
62374951,73146686.458,0.006
17874261,73146686.477,0.007
34065285,73146686.496,0.007
26353274,73146686.515,0.006
85409718,73146686.534,0.044
70309,73146686.595,0.008
36702099,73146686.618,0.006
53358141,73146686.637,0.006
2691420,73146686.656,0.006
73937227,73146686.675,0.006
35962254,73146686.694,0.006
99791133,73146686.713,0.006
45436684,73146686.732,0.006
93874356,73146686.751,0.006
75952470,73146686.77,0.047
62048281,73146686.834,0.008
38669299,73146686.857,0.007
38916606,73146686.876,0.007
35399558,73146686.895,0.006
29307313,73146686.914,0.04
73050803,73146686.971,0.008
85541492,73146686.994,0.007
24919555,73146687.014,0.006
66531318,73146687.033,0.008
73183918,73146687.054,0.006
51981643,73146687.073,0.006
97802917,73146687.091,0.007
5214331,73146687.111,0.006
31675304,73146687.131,0.006
38095731,73146687.15,0.039
74554163,73146687.207,0.011
96376503,73146687.233,0.007
18152732,73146687.253,0.006
66938180,73146687.271,0.007
15894358,73146687.29,0.006
57945439,73146687.309,0.006
90424951,73146687.328,0.007
9486156,73146687.348,0.006
58472770,73146687.366,0.007
98681599,73146687.385,0.006
32427685,73146687.404,0.006
26523251,73146687.422,0.006
35660777,73146687.44,0.007
712926,73146687.459,0.006
61316388,73146687.478,0.006
85354599,73146687.498,0.015
8463406,73146687.594,0.015
10711814,73146687.629,0.014
36705941,73146687.661,0.017
60882499,73146687.695,0.017
39528592,73146687.73,0.017
80606657,73146687.764,0.059
43933553,73146687.845,0.016
59229055,73146687.881,0.016
37950177,73146687.916,0.014
42788677,73146687.948,0.014
49491075,73146687.98,0.015
33596625,73146688.013,0.014
75276701,73146688.08,0.019
7285206,73146688.119,0.016
17559659,73146688.154,0.014
67967111,73146688.186,0.014
15422129,73146688.218,0.014
5310364,73146688.25,0.014
44386852,73146688.284,0.014
84453066,73146688.366,0.015
53137194,73146688.401,0.014
66086717,73146688.433,0.015
88187749,73146688.465,0.015
29207318,73146688.498,0.015
33590145,73146688.531,0.016
44152671,73146688.565,0.016
98453086,73146688.599,0.016
53045565,73146688.633,0.017
76135597,73146688.668,0.017
75638002,73146688.703,0.016
34241078,73146688.737,0.062
55907838,73146688.821,0.016
58617219,73146688.857,0.015
90745245,73146688.894,0.018
16181841,73146688.934,0.017
85557840,73146688.969,0.014
66970181,73146689.001,0.014
75980319,73146689.033,0.014
84314121,73146689.117,0.014
38593460,73146689.151,0.015
88268628,73146689.185,0.016
13251806,73146689.218,0.018
43718164,73146689.254,0.017
74183052,73146689.289,0.016
1617251,73146689.323,0.016
64486319,73146689.356,0.017
18229602,73146689.391,0.016
59131002,73146689.424,0.017
25398425,73146689.503,0.019
82264110,73146689.542,0.016
57529668,73146689.578,0.014
59776217,73146689.61,0.014
60899185,73146689.642,0.015
69017511,73146689.674,0.015
45445868,73146689.707,0.014
3793346,73146689.739,0.014
14340401,73146689.823,0.014
4866205,73146689.857,0.014
30307873,73146689.89,0.014
69323544,73146689.923,0.014
48244050,73146689.955,0.014
95943151,73146689.987,0.014
1600248,73146690.019,0.014
40524270,73146690.051,0.015
78247853,73146690.084,0.014
3190942,73146690.116,0.014
89033100,73146690.148,0.059
93363884,73146690.229,0.017
47509625,73146690.265,0.016
70302850,73146690.298,0.015
88385001,73146690.331,0.015
27210162,73146690.364,0.015
63487583,73146690.397,0.014
90288611,73146690.428,0.015
80703582,73146690.46,0.015
72854411,73146690.62,0.014
89103794,73146690.654,0.015
2352426,73146690.687,0.015
87040835,73146690.72,0.015
20558881,73146690.752,0.015
27883493,73146690.827,0.019
40705473,73146690.866,0.016
66316281,73146690.901,0.014
74048701,73146690.933,0.014
23972977,73146690.965,0.017
90183857,73146690.999,0.015
43387244,73146691.079,0.015
86980873,73146691.114,0.014
33057004,73146691.147,0.014
22335239,73146691.18,0.015
95811603,73146691.212,0.015
17408101,73146691.245,0.014
4409671,73146691.277,0.015
1301719,73146691.31,0.014
29142025,73146691.342,0.014
17395188,73146691.374,0.015
83669233,73146691.406,0.014
11654495,73146691.438,0.015
84433019,73146691.47,0.061
88510202,73146691.554,0.134
10534109,73146691.836,0.115
61935968,73146692.044,0.154
1371612,73146692.305,0.111
58066301,73146692.509,0.168
3022216,73146692.823,0.112
23315650,73146693.029,0.155
73985757,73146693.287,0.113
47895241,73146693.505,0.157
70351854,73146693.756,0.111
24961558,73146694.01,0.039
98764824,73146694.072,0.081
84497773,73146694.178,0.039
49007851,73146694.239,0.038
99540519,73146694.3,0.038
69388879,73146694.36,0.036
87399293,73146694.416,0.038
70699019,73146694.474,0.037
14074422,73146694.534,0.037
37128115,73146694.592,0.082
13122259,73146694.699,0.01
70988597,73146694.72,0.012
21313030,73146694.743,0.008
76394994,73146694.761,0.008
99825740,73146694.778,0.007
4973968,73146694.795,0.007
54708776,73146694.812,0.008
41873143,73146694.829,0.008
34115484,73146694.846,0.007
62547496,73146694.863,0.007
2720708,73146694.88,0.007
55057711,73146694.896,0.008
68132619,73146694.913,0.007
79002039,73146694.93,0.007
77820200,73146694.947,0.012
58061867,73146694.972,0.009
26752785,73146694.994,0.009
76373991,73146695.016,0.008
66755081,73146695.037,0.008
14119778,73146695.055,0.007
7353577,73146695.071,0.008
48240195,73146695.089,0.007
57749581,73146695.106,0.007
79292865,73146695.123,0.007
7428828,73146695.139,0.008
25678336,73146695.156,0.008
74882622,73146695.173,0.008
22481170,73146695.191,0.008
84179781,73146695.208,0.007
4876548,73146695.225,0.059
65871193,73146695.298,0.008
57255137,73146695.318,0.008
50315264,73146695.335,0.008
24883734,73146695.352,0.007
71178422,73146695.369,0.007
95949151,73146695.386,0.008
26499208,73146695.403,0.007
2699589,73146695.419,0.008
47681808,73146695.436,0.008
23616887,73146695.453,0.008
177371,73146695.47,0.008
27004463,73146695.487,0.008
39915952,73146695.504,0.007
43906289,73146695.521,0.007
11149121,73146695.537,0.008
93066393,73146695.554,0.008
9640068,73146695.571,0.008
10188043,73146695.589,0.008
61846646,73146695.606,0.008
25918073,73146695.623,0.008
90912689,73146695.641,0.007
22916643,73146695.657,0.008
28160867,73146695.674,0.008
81104907,73146695.691,0.008
23455320,73146695.708,0.009
12139966,73146695.788,0.008
24859731,73146695.808,0.007
65620343,73146695.825,0.007
69206596,73146695.842,0.008
76290742,73146695.86,0.008
79915385,73146695.877,0.007
32846097,73146695.894,0.007
72594544,73146695.911,0.007
63638201,73146695.928,0.007
84210729,73146695.944,0.008
25203407,73146695.962,0.008
10926329,73146695.98,0.007
17025132,73146695.997,0.008
65907125,73146696.014,0.008
57704518,73146696.032,0.007
19866647,73146696.049,0.008
54126674,73146696.066,0.008
6481553,73146696.084,0.007
82790934,73146696.101,0.008
6535080,73146696.119,0.008
24840124,73146696.137,0.008
85230394,73146696.154,0.008
16497943,73146696.172,0.007
18408434,73146696.189,0.008
56785793,73146696.206,0.008
49311405,73146696.223,0.008
33438836,73146696.24,0.066
40607850,73146696.32,0.011
6711654,73146696.343,0.008
45027344,73146696.361,0.007
60589941,73146696.378,0.007
2367574,73146696.395,0.007
27624778,73146696.412,0.008
81687714,73146696.429,0.008
67403929,73146696.446,0.007
79558684,73146696.463,0.007
54688620,73146696.48,0.008
86257074,73146696.497,0.007
6019590,73146696.514,0.007
8533716,73146696.53,0.008
57244866,73146696.547,0.008
97326051,73146696.564,0.008
56169521,73146696.581,0.007
6830223,73146696.598,0.054
33571308,73146696.665,0.008
3325793,73146696.686,0.004
67489657,73146696.701,0.014
