137,Construction Supplies,4bf58dd8d48988d112951735,Hardware Store,C
138,Convenience Stores,4d954b0ea243a5684a65b473,Convenience Store,A
139,Costumes,4bf58dd8d48988d1f6941735,Department Store,D
140,Dance and Music,4bf58dd8d48988d1e5931735,Music Venue,C
141,Department Stores,4bf58dd8d48988d1f6941735,Department Store,A
142,Fashion,4bf58dd8d48988d103951735,Clothing Store,C
143,Clothing and Accessories,4bf58dd8d48988d103951735,Clothing Store,B
144,Jewelry and Watches,4bf58dd8d48988d111951735,Jewelry Store,A
145,Shoes,4bf58dd8d48988d107951735,Shoe Store,A
146,Swimwear,4bf58dd8d48988d1f6941735,Department Store,D
147,Flea Markets,4bf58dd8d48988d1f7941735,Flea Market,A
148,Florists,4bf58dd8d48988d11b951735,Flower Shop,A
149,Food and Beverage,4bf58dd8d48988d1c4941735,Restaurant,B
150,Beer,4bf58dd8d48988d117941735,Beer Garden,B
151,Candy Stores,4bf58dd8d48988d117951735,Candy Store,A
152,Cheese,4bf58dd8d48988d11e951735,Cheese Shop,A
153,Chocolate,4bf58dd8d48988d117951735,Candy Store,C
154,Farmers' Markets,4bf58dd8d48988d1fa941735,Farmers Market,A
155,Health and Diet Food,50aa9e744b90af0d42d5de0e,Health Food Store,A
156,Kosher,4d4b7105d754a06374d81259,Food,D
157,Furniture and Home Decor,4bf58dd8d48988d1f8941735,Furniture / Home Store,A
158,Gift and Novelty,4bf58dd8d48988d128951735,Gift Shop,B
159,Glasses and Optometrist,4d954afda243a5684865b473,Optical Shop,A
160,Hobby and Collectibles,4bf58dd8d48988d1fb941735,Hobby Shop,B
161,Luggage,4bf58dd8d48988d1f6931735,General Travel,F
162,Music,4bf58dd8d48988d1fe941735,Music Store,B
163,Newsstands,4f04ad622fb6e1c99f3db0b9,Newsstand,A
164,Nurseries and Garden Centers,4eb1c0253b7b52c0e1adc2e9,Garden Center,A
165,Outlet,4bf58dd8d48988d1f6941735,Department Store,D
166,Pawn Shops,4bf58dd8d48988d1ff941735,Miscellaneous Shop,C
167,Pets,4bf58dd8d48988d100951735,Pet Store,B
168,Photos and Frames,4eb1bdf03b7b55596b4a7491,Camera Store,D
169,Shopping Centers and Malls,4bf58dd8d48988d1fd941735,Mall,B
170,Sporting Goods,4bf58dd8d48988d1f2941735,Sporting Goods Shop,A
171,Supermarkets and Groceries,4bf58dd8d48988d118951735,Grocery Store,A
172,Tobacco,4bf58dd8d48988d123951735,Smoke Shop,B
173,Toys,4bf58dd8d48988d1f3941735,Toy / Game Store,A
174,Vintage and Thrift,4bf58dd8d48988d101951735,Thrift / Vintage Store,A
